word,id,sense,polarity,subjectivity,confidence
blokkade,r_n-7668,,-0.1,0.0,0.8
blokkades,,,-0.1,0.0,0.8
blokkeren,r_v-1767,,-0.1,0.0,0.8
blond,r_a-9345,lichtgeel (vooral van haar),0.0,0.1,1.0
bloot,r_a-9346,naakt,0.1,0.4,1.0
blut,r_a-9347,platzak,-0.4,0.7,0.7
bochtig,r_a-9489,met veel bochten,-0.1,0.3,0.7
bodemloos,r_a-9348,zonder bodem,0.3,0.6,0.7
boeiend,r_a-9349,fascinerend,0.9,1.0,1.0
boekhoudkundig,r_a-9491,mbt. het boekhouden,0.0,0.0,0.7
boers,r_a-9350,lomp,-0.6,0.9,0.7
bol,d_a-34543,rond en dik,-0.2,0.4,1.0
bol,r_a-9355,bolvormig,0.0,0.0,1.0
bombastisch,r_a-9356,hoogdravend,-0.5,0.9,0.7
bomvol,r_a-9493,stampvol,-0.1,0.6,1.0
bondig,r_a-9358,kernachtig,0.4,0.7,1.0
boordevol,r_a-9495,helemaal vol,0.2,0.6,1.0
boos,r_a-9361,kwaad,-0.6,1.0,1.0
boos,r_a-9362,boosaardig,-0.8,1.0,1.0
borstelig,r_a-9496,als een borstel,0.0,0.1,0.7
bot,r_a-9365,lomp,-0.3,0.7,0.7
bovenaards,r_a-9654,hemels,0.1,0.7,0.9
bovengenoemd,r_a-9370,eerder genoemd (in een tekst),0.0,0.1,0.9
bovenmenselijk,r_a-9372,meer dan menselijk,-0.3,0.7,0.7
bovennatuurlijk,r_a-9373,boven het natuurlijke,0.1,0.7,1.0
bovenst,r_a-9502,hoogst,-0.1,0.4,0.7
bovenstaand,r_a-9374,hierboven,0.0,0.1,1.0
bovenvermeld,r_a-9503,bovengenoemd,0.0,0.1,0.9
boycot,r_n-8341,,-0.1,0.0,0.8
boycotten,r_v-1850,,-0.1,0.0,0.8
braaf,r_a-9375,zoet,0.2,0.9,1.0
braak,r_a-9376,onbebouwd,0.0,0.3,0.7
brak,r_a-9377,zilt,-0.3,0.6,0.7
brandend,r_a-9506,heet,-0.6,0.9,0.7
branderig,r_a-9378,naar prikkelend,0.5,1.0,0.7
breed,r_a-9380,niet smal,-0.1,0.4,1.0
breedgebouwd,r_a-9574,fors,0.1,0.9,0.7
breedgeschouderd,r_a-9575,met brede schouders,0.4,1.0,0.7
briljant,r_a-9384,geniaal,1.0,1.0,1.0
broederlijk,r_a-9386,zoals broeders doen,0.3,0.5,0.7
broeierig,r_a-9507,drukkend warm,-0.6,0.9,0.7
bronzen,r_a-9509,van brons,0.2,0.2,0.7
broodmager,r_a-9577,heel mager,-0.2,0.4,0.7
broodnuchter,r_a-9578,geheel nuchter,0.5,0.7,0.7
broos,r_a-9391,zeer breekbaar,-0.5,0.8,0.7
bruin,r_a-9394,bruingekleurd,-0.2,0.5,0.7
brutaal,r_a-9395,vrijpostig,-0.3,0.8,0.7
bruusk,r_a-9398,nors,-0.5,0.9,0.7
bruusk,r_a-9399,abrupt,-0.5,0.8,0.7
bruut,r_a-9400,ruw,-0.5,0.9,1.0
buiig,r_a-9402,regenachtig,-0.5,0.8,0.7
buikig,r_a-9403,corpulent,0.0,0.2,0.7
buitenaards,r_a-9404,van buiten de aarde,0.1,0.7,0.7
buitenechtelijk,r_a-9405,buiten het huwelijk,-0.2,0.8,0.7
buitengewoon,r_a-9407,bijzonder,0.9,1.0,1.0
buitenissig,r_a-9408,excentriek,-0.4,1.0,0.7
buitenlands,r_a-9409,uitheems,0.0,0.1,1.0
buitenlands,r_a-9410,mbt. het buitenland,0.0,0.0,1.0
buitenmatig,d_a-39296,,0.2,0.9,0.7
buitensporig,r_a-9412,excessief,-0.3,0.8,0.7
calvinistisch,r_a-9713,streng en serieus,0.1,0.2,0.7
capabel,r_a-9714,bekwaam,0.6,0.9,0.7
catastrofaal,r_a-9716,rampzalig,-0.6,0.8,1.0
categoriaal,r_a-9806,naar categorie ingedeeld,0.0,0.1,0.7
categorisch,r_a-9717,zonder twijfel,-0.1,0.9,0.7
causaal,r_a-9718,oorzakelijk,0.0,0.1,0.7
centraal,r_a-9721,in of uit het centrum,0.0,0.1,1.0
chagrijnig,r_a-9723,uit zijn humeur,-0.5,0.9,0.7
chaotisch,r_a-9724,ordeloos,-0.5,0.9,1.0
charismatisch,r_a-9812,met bijzondere uitstraling,0.8,1.0,0.7
charitatief,r_a-9725,liefdadig,0.5,0.6,0.7
charlatan,r_n-9275,,-0.6,0.7,0.7
charlatanisme,,,-0.5,0.6,0.7
charmant,r_a-9726,bekoorlijk,0.2,0.7,0.7
chassidisch,r_a-9847,volgens Joodse mystieke stroming,0.0,0.0,0.7
chauvinistisch,r_a-9727,volgens chauvinisme,-0.5,0.9,0.7
chic,r_a-9729,elegant,0.5,0.9,1.0
chloorhoudend,r_a-9848,met chloor erin,-0.4,0.7,0.7
cholerisch,r_a-9731,driftig,-0.5,0.9,0.7
choreografisch,r_a-9851,mbt. choreografie,0.0,0.0,0.7
christelijk,r_a-9732,te maken hebbend met het christendom,0.0,0.0,1.0
christen-democratisch,r_a-9813,democratisch op christelijke grondslag,0.0,0.0,0.7
chronisch,r_a-9733,voortdurend,-0.3,0.7,0.7
chronologisch,r_a-9734,volgens chronologie,0.0,0.0,1.0
cinematografisch,r_a-9815,mbt. de filmkunst,0.0,0.0,0.7
civiel,r_a-9735,niet-militair en niet-kerkelijk,0.0,0.0,0.7
civielrechtelijk,r_a-9817,volgens het burgerlijk recht,0.0,0.0,0.7
clandestien,r_a-9736,illegaal,-0.3,1.0,0.7
classicistisch,r_a-9818,volgens het classicisme,-0.1,0.3,0.7
clash,d_n-48552,,-0.2,0.3,0.7
claustrofobisch,r_a-9857,met claustrofobie,-0.6,1.0,0.7
clever,d_a-48685,,0.8,0.9,0.7
cliché,r_n-9442,,-0.4,0.9,1.0
clichématig,r_a-9819,afgezaagd,-0.5,0.8,0.7
clinch,,,-0.2,0.3,0.7
close,r_a-9740,dichtbij,0.8,1.0,0.7
coherent,r_a-9743,samenhangend,0.4,0.7,0.7
collectief,r_a-9744,met z'n allen,0.0,0.2,0.7
collegiaal,r_a-9745,zoals collega's doen,0.1,0.3,0.7
comfortabel,r_a-9746,geriefelijk,0.2,0.6,0.7
comfortabel,r_a-9879,ruim,0.2,0.6,0.7
commercieel,r_a-9747,mbt. de handel,-0.1,0.3,1.0
communicatief,r_a-9880,mededeelzaam,0.1,0.3,0.7
communistisch,r_a-9749,volgens het communisme,0.0,0.4,0.7
competent,r_a-9751,bekwaam,0.4,0.7,0.7
compleet,d_a-50087,,0.1,0.4,0.7
compleet,r_a-9752,volledig,0.1,0.6,1.0
complex,r_a-9754,"samengesteld, ingewikkeld",-0.1,0.9,1.0
compositorisch,r_a-9824,de compositie betreffend,0.1,0.4,0.7
computergestuurd,r_a-9827,door een computer gecontroleerd,0.0,0.0,0.7
conceptueel,r_a-9881,het begrip betreffende,0.1,0.4,0.7
concreet,r_a-9757,tastbaar,0.1,0.2,1.0
concreet,r_a-9758,duidelijk,0.4,0.6,1.0
concurrerend,r_a-9828,scherp,-0.1,0.3,0.7
confessioneel,r_a-9759,christelijk,0.0,0.0,0.8
confronterend,r_a-9862,iets tegenover iets stellend,-0.6,0.9,0.7
congruent,r_a-9940,overeenkomend,0.1,0.3,0.7
conjunctureel,r_a-9830,de conjunctuur betreffend,0.0,0.2,0.7
consciëntieus,r_a-9763,zorgvuldig,0.0,0.9,0.7
consequent,r_a-9764,logisch voortvloeiend,0.4,0.5,0.7
consequent,r_a-9941,zichzelf gelijk blijvend,0.0,0.1,0.7
conservatief,r_a-9765,behoudend,-0.1,0.3,0.7
consistent,r_a-9766,zonder innerlijke tegenspraak,0.0,0.1,0.7
constant,r_a-9767,onveranderlijk,0.0,0.1,1.0
constructief,r_a-9769,opbouwend,0.1,0.4,0.7
contemporain,r_a-9833,eigentijds,0.2,0.5,1.0
content,r_a-9772,tevreden,0.4,1.0,1.0
contingent,d_a-51652,toevallig,0.0,0.1,0.7
continu,r_a-9774,ononderbroken,0.0,0.0,1.0
controversieel,r_a-9776,omstreden,-0.5,0.9,0.7
conventioneel,r_a-9884,onorigineel,-0.4,0.9,0.7
cool,,,0.7,1.0,1.0
copieus,r_a-9781,overvloedig,0.6,0.6,0.7
corduroy,r_a-9872,van ribfluweel gemaakt,0.0,0.1,0.7
corpulent,r_a-9782,gezet,-0.1,0.1,0.7
correct,r_a-9783,foutloos,0.4,0.6,1.0
correct,r_a-9784,zoals het hoort,0.5,0.8,1.0
cosmetisch,r_a-9873,de cosmetica betreffende,-0.1,0.4,0.7
coulant,r_a-9787,soepel,0.6,0.7,0.8
courant,r_a-9788,gangbaar,0.0,0.2,0.7
coöperatief,r_a-9780,op samenwerking gebaseerd,0.0,0.1,0.7
crazy,r_a-9790,gek,0.5,0.8,0.7
creatief,r_a-9791,scheppend,0.6,0.7,1.0
crimineel,r_a-9792,misdadig,-0.6,0.8,1.0
crimineel,r_a-9945,strafrechtelijk,-0.2,0.3,1.0
criminologisch,r_a-9874,van de criminologie,0.0,0.0,0.7
cru,r_a-9793,bot,-0.5,0.9,0.7
cruciaal,r_a-9794,beslissend,0.4,0.8,0.7
cryptisch,r_a-9795,duister,-0.4,0.6,0.7
culinair,r_a-9796,mbt. de kookkunst,0.0,0.0,1.0
cultureel,r_a-9797,mbt. cultuur,0.1,0.1,1.0
cultuurhistorisch,r_a-9838,mbt. Cultuurgeschiedenis,0.0,0.0,0.7
cumulatief,r_a-9798,steeds bij het totaal opgeteld,0.1,0.1,0.7
curatief,r_a-9840,genezend,0.1,0.1,0.7
curieus,r_a-9799,opmerkelijk,0.2,0.9,1.0
cursief,r_a-9801,schuin gedrukt,0.0,0.0,1.0
cynisch,r_a-9803,bitter,-0.6,1.0,1.0
cyrillisch,r_a-9841,mbt. soort schrift,0.0,0.0,0.7
daadwerkelijk,r_a-9990,metterdaad,0.2,0.4,1.0
daaropvolgend,r_a-10167,wat volgt op,0.0,0.0,0.7
dagelijks,r_a-9993,iedere dag,0.0,0.0,1.0
dagelijks,r_a-9994,(alle)daags,-0.1,0.6,1.0
dagenlang,r_a-10168,dagen durend,-0.1,0.4,1.0
dagvers,r_a-10242,heel vers,-0.1,0.1,0.7
dakloos,r_a-9995,zonder onderdak,-0.1,0.1,1.0
danig,r_a-10169,duchtig,0.0,0.5,1.0
dankbaar,r_a-9996,erkentelijk,0.6,0.9,1.0
dankbaar,r_a-9997,voldoening gevend,0.7,0.9,1.0
dapper,r_a-9998,moedig,0.8,0.9,1.0
daverend,r_a-10000,"heel groot,mooi,veel",0.4,0.7,0.8
decadent,r_a-10003,in moreel verval,-0.5,0.6,0.7
decadent,r_a-10316,overdreven luxueus,-0.6,0.9,0.7
decoratief,r_a-10006,versierend,0.0,0.2,0.7
deductief,r_a-10244,met deductie,0.4,0.7,0.7
deels,,,0.0,0.4,1.0
deemoedig,r_a-10173,met deemoed,-0.1,0.8,0.7
deerlijk,d_a-57320,,-0.7,1.0,0.7
deerniswekkend,r_a-10008,meelijwekkend,-0.4,1.0,0.7
defaitistisch,r_a-10246,moedeloos,-0.6,0.9,0.7
definitief,r_a-10011,vaststaand,0.0,0.3,1.0
deftig,r_a-10012,statig,0.4,0.8,0.7
degelijk,d_a-57463,,0.5,0.9,0.7
degelijk,r_a-10014,solide,0.4,0.8,1.0
deksels,r_a-10015,drommels,0.0,0.7,0.7
demagogisch,r_a-10174,de massa bespelend,-0.4,0.8,0.7
dement,r_a-10018,kinds,-0.7,0.9,0.7
demissionair,r_a-10019,bezig af te treden,0.0,0.2,0.7
demografisch,r_a-10175,de demografie betreffend,0.0,0.1,0.7
demonisch,r_a-10247,duivels,-0.4,1.0,0.7
demonstratief,r_a-10021,om de aandacht te trekken,-0.2,0.5,0.7
denderend,r_a-10023,daverend,0.4,0.7,1.0
denkbaar,r_a-10024,mogelijk,0.1,0.3,1.0
departementaal,r_a-10179,van een departement,0.0,0.0,0.7
deplorabel,r_a-10180,erbarmelijk,-0.5,0.9,0.7
depressief,r_a-10026,neerslachtig,-0.7,0.9,1.0
derdegraads,r_a-10027,v.d. derde graad,-0.5,1.0,0.7
derderangs,r_a-10028,van slechte kwaliteit,-0.6,0.9,0.7
dergelijk,r_a-16573,zulk,0.0,0.3,1.0
desastreus,r_a-10029,rampzalig,-0.5,0.7,0.7
descriptief,r_a-10031,beschrijvend,0.2,0.3,0.7
desolaat,r_a-10183,troosteloos,-0.4,0.9,0.7
destructief,r_a-10033,afbrekend,-0.8,0.9,0.7
deugdelijk,r_a-10034,degelijk,0.0,0.1,0.7
deugdzaam,r_a-10035,braaf,-0.1,0.7,0.7
devoot,r_a-10036,vroom,0.4,1.0,0.7
dezelfde,d_a-404142,,0.0,0.1,1.0
diabolisch,r_a-10254,satanisch,-0.6,0.9,0.7
dicht,r_a-10039,niet open,-0.1,0.1,1.0
dicht,r_a-10040,nauw aaneengesloten,0.1,0.1,1.0
dichtbij,d_a-521765,,0.1,0.4,1.0
dichterbij,d_r-70845,,0.1,0.4,1.0
dichterlijk,r_a-10041,poëtisch,0.2,0.5,0.9
dictatoriale,,,-0.3,0.2,0.8
didactisch,r_a-10189,onderwijskundig,0.1,0.2,0.7
dienstverlenend,r_a-10191,diensten verlenend,-0.1,0.3,0.7
diep,r_a-10047,van kleur,0.1,0.4,1.0
diep,r_a-10048,ver naar achteren,0.0,0.4,1.0
diep,r_a-10049,intens,0.6,0.9,1.0
diepblauw,r_a-10192,blauw,0.1,0.3,0.7
diepgaand,r_a-10050,grondig,0.4,0.8,1.0
diepgeworteld,r_a-10193,diep zittend,-0.1,0.9,0.7
diepgravend,r_a-10194,diepgaand,0.5,0.7,0.7
diepliggend,r_a-10258,verzonken,0.0,0.1,0.7
dieptepunt,,,-0.3,0.2,0.8
diepzinnig,r_a-10051,getuigend van diep nadenken,0.6,0.9,1.0
dierbaar,r_a-10052,geliefd,0.7,1.0,1.0
diffuus,r_a-10054,verspreid,0.0,0.2,0.7
digitaal,r_a-10055,niet analoog,0.0,0.0,1.0
dik,r_a-10058,dicht,0.1,0.4,1.0
dik,r_a-10059,"ruim, veel",0.3,0.6,1.0
dik,r_a-10328,van aanzienlijke omvang,-0.5,0.6,1.0
dilettanterig,d_a-60757,,-0.5,0.9,0.7
diplomatiek,r_a-10060,horend bij de diplomatie,0.0,0.1,0.7
direct,r_a-10061,"zonder omwegen, m.b.t. afstand",0.4,0.4,1.0
discutabel,r_a-10064,aanvechtbaar,-0.4,0.9,1.0
disproportioneel,r_a-10196,niet in verhouding,-0.1,0.7,0.7
disputabel,d_a-404196,,-0.4,0.9,0.7
dissonant,r_a-10266,vals,-0.6,0.9,0.7
divers,r_a-10067,uiteenlopend,0.2,0.6,1.0
divers,r_a-10068,verscheidene,0.0,0.1,1.0
dodelijk,r_a-10070,tot de dood leidend,-0.6,0.6,1.0
doelbewust,r_a-10071,vastberaden,0.2,0.6,0.7
doelgericht,r_a-10199,op het doel af,-0.1,0.1,0.7
doelloos,r_a-10072,zonder doel,-0.3,0.6,0.7
doeltreffend,r_a-10074,effectief,0.6,0.8,1.0
doenlijk,r_a-10075,uitvoerbaar,0.0,0.3,0.7
dof,r_a-10200,"mat, gedempt",0.4,0.5,0.7
dogmatisch,r_a-10076,volgens dogma,-0.5,0.8,0.7
dol,d_a-521931,van dieren,-0.3,0.8,1.0
dol,r_a-10077,verzot,0.8,1.0,1.0
dol,r_a-10078,dwaas,-0.4,1.0,1.0
dol,r_a-10079,enig,0.4,0.7,1.0
dol,r_a-10332,(v.e. schroef) doordraaiend,-0.1,0.1,1.0
dolblij,r_a-10201,ontzettend blij,0.6,1.0,0.7
doldriest,r_a-10270,heel overmoedig,-0.6,0.9,0.7
dolenthousiast,r_a-10271,zeer enthousiast,0.5,0.9,0.7
dolgelukkig,r_a-10202,ontzettend gelukkig,0.6,1.0,0.7
dom,r_a-10080,niet intelligent,-0.7,0.9,1.0
donker,r_a-10082,duister,-0.2,0.4,1.0
donker,r_a-10083,niet licht van kleur,0.0,0.4,1.0
donker,r_a-10084,niet helder van klank,-0.2,0.4,1.0
donker,r_a-10338,"somber, ongunstig",-0.6,0.9,1.0
donkerblauw,r_a-10205,niet lichtblauw,0.0,0.4,0.7
donkerblond,r_a-10274,niet lichtblond,0.0,0.1,0.7
donkergrijs,r_a-10208,niet lichtgrijs,-0.2,0.5,0.7
donkerrood,r_a-10210,niet lichtrood,0.0,0.0,0.7
dood,r_a-10085,niet levend,-0.2,0.4,1.0
doodeenvoudig,r_a-10211,doodsimpel,0.1,0.8,0.7
doodgeboren,r_a-10213,levenloos geboren,-0.5,0.7,0.7
doodgewoon,r_a-10214,heel gewoon,-0.1,0.7,0.7
doodkalm,r_a-10279,uiterst kalm,-0.9,1.0,0.7
doodmoe,r_a-10215,heel moe,-0.5,0.6,0.7
doodnormaal,r_a-10280,heel gewoon,-0.4,1.0,0.7
doods,r_a-10088,dood lijkend,-0.1,0.7,0.7
doodsbleek,r_a-10283,lijkbleek,-0.6,0.7,0.7
doodsimpel,r_a-10285,doodeenvoudig,0.2,0.4,0.7
doodziek,r_a-10219,zwaar ziek,-0.7,0.9,0.7
doopsgezind,r_a-10220,baptistisch,0.0,0.1,0.7
doordacht,r_a-10091,weloverwogen,0.8,0.9,1.0
doordeweeks,r_a-10289,niet zondags,-0.6,0.9,0.7
doorgaand,r_a-10093,niet stoppend,-0.3,0.8,0.7
doorgewinterd,r_a-10094,zeer bedreven en ervaren,0.5,0.9,1.0
doorslaand,r_a-10099,overtuigend,0.4,0.7,0.7
doorslaggevend,r_a-10100,beslissend,0.2,0.6,0.7
doorsnee,d_n-404268,,-0.1,0.5,1.0
doortimmerd,r_a-10102,degelijk,0.1,0.2,0.7
doorwrocht,r_a-10107,doortimmerd,0.7,0.9,0.7
doorzichtig,r_a-10109,transparant,0.0,0.2,1.0
doorzichtig,r_a-10110,helder,0.2,0.5,1.0
dorstig,r_a-10114,met dorst,-0.4,1.0,0.7
draagbaar,r_a-10223,dragend te vervoeren,0.0,0.0,0.7
draagkrachtig,r_a-10224,lasten kunnende dragen,0.4,0.6,0.9
draaibaar,r_a-10225,te draaien,0.2,0.4,0.7
drabbig,r_a-10294,modderig,-0.4,0.5,0.7
draconisch,r_a-10226,streng,-0.5,0.9,0.8
drakerig,r_a-10296,draakachtig,-0.6,0.9,0.7
dramatisch,r_a-10119,tragisch,-0.6,0.8,1.0
dramatisch,r_a-10335,theatraal,-0.4,0.8,1.0
dramatisch,r_a-10336,mbt. Toneel,-0.1,0.1,1.0
drammerig,r_a-10297,belerend en betweterig,-0.4,0.8,0.7
drastisch,r_a-10121,ingrijpend,-0.1,0.9,0.9
dreigend,r_a-10228,vol dreiging,-0.2,0.6,0.7
driedimensionaal,r_a-10122,met drie dimensies,0.1,0.6,0.7
driedubbel,r_a-10231,drievoudig,0.0,0.0,0.7
driejaarlijks,r_a-10233,(van) om de drie jaar,0.0,0.3,0.7
driekwart,r_a-10123,drievierde,0.0,0.0,1.0
driest,r_a-10124,overmoedig,-0.7,0.8,0.7
drinkbaar,r_a-10306,te drinken,0.4,0.6,0.7
droef,r_a-10237,treurig,-0.5,0.9,1.0
droevig,d_a-65732,,-0.5,0.9,0.7
droevig,r_a-10130,treurig,-0.5,0.9,1.0
dromerig,r_a-10131,als iemand die droomt,0.3,0.9,1.0
dronken,r_a-10132,beschonken,-0.3,0.6,1.0
droog,r_a-10133,niet nat,0.0,0.0,1.0
droog,r_a-10134,uitgedroogd,-0.2,0.6,1.0
droog,r_a-10339,geestig,0.4,0.9,1.0
droog,r_a-10340,van drank: niet zoet,-0.1,0.6,1.0
druilerig,r_a-10135,regenachtig,-0.5,0.7,1.0
druk,r_a-10136,bedrijvig,-0.1,0.7,1.0
druk,r_a-10137,turbulent,-0.4,0.7,1.0
druk,r_a-10341,van karakter,-0.2,0.9,1.0
dubbel,r_a-10140,tweevoudig,0.0,0.0,1.0
dubbelhartig,r_a-10141,vals,-0.9,1.0,0.7
dubieus,r_a-10144,twijfelachtig,-0.4,0.9,1.0
duidelijk,r_a-10148,makkelijk te begrijpen,0.6,0.7,1.0
duidelijk,r_a-10149,goed waarneembaar,0.3,0.5,1.0
duister,r_a-10150,donker,-0.2,0.8,1.0
duivels,r_a-10151,satanisch,-0.5,0.9,0.7
duizelig,r_a-10153,draaierig,-0.1,1.0,0.7
duizelingwekkend,r_a-10154,enorm,0.5,1.0,1.0
duizendjarig,r_a-10342,van duizend jaar,0.0,0.3,0.7
dun,r_a-10155,mager,-0.3,0.9,1.0
dun,r_a-10156,vloeibaar,0.0,0.1,1.0
dun,r_a-10329,plat,-0.2,0.4,1.0
dusdanig,,,0.0,0.2,1.0
duur,r_a-10158,prijzig,-0.5,0.7,1.0
duur,r_a-10159,"deftig, gewichtig",0.1,0.9,1.0
duurzaam,r_a-10160,bestendig,0.1,0.4,0.7
dwangmatig,r_a-10162,obsessief,-0.6,0.8,0.7
dwars,r_a-10163,orthogonaal,0.0,0.0,1.0
dwarsbomen,r_v-2609,,-0.2,0.2,0.8
dweperig,r_a-10311,geneigd tot dwepen,-0.5,0.9,0.7
dynamisch,r_a-10343,mbt. de dynamica,0.1,0.2,0.7
dyslectisch,r_a-10313,woordblind,-0.5,0.6,0.7
echt,r_a-10347,niet vals,0.3,0.4,1.0
echt,r_a-10615,bij uitnemendheid,0.1,0.4,1.0
eclatant,r_a-10475,daverend,0.5,0.7,0.7
eclatant,r_a-10576,sensationeel,0.6,0.9,0.8
edel,r_a-10353,hoogstaand van karakter,-0.7,0.9,0.7
eeltig,r_a-10536,vol eelt,-0.1,0.6,0.7
eendimensionaal,,,-0.2,0.4,1.0
eendrachtig,r_a-10479,eensgezind,0.2,0.5,0.7
eenduidig,r_a-10359,ondubbelzinnig,0.4,0.6,0.7
eenheidsworst,r_n-11999,,-0.3,0.3,0.7
eenhoevig,r_a-10538,met enkelvoudige hoeven,0.1,0.4,0.7
eenmalig,r_a-10362,één keer voorkomend,0.0,0.1,1.0
eenparig,r_a-10542,met overeenstemming,0.1,0.1,0.7
eens,r_a-10363,van dezelfde mening,0.1,0.4,1.0
eensluidend,r_a-10365,met gelijke inhoud,0.4,0.6,0.7
eentonig,r_a-10367,weinig afwisselend,-0.6,0.9,1.0
eentonig,r_a-10592,met maar één toon,-0.1,0.2,1.0
eenvoudig,r_a-10368,niet ingewikkeld,0.4,0.9,1.0
eenvoudig,r_a-10594,zonder weelde of overdaad,0.4,0.9,1.0
eenvoudig,r_a-10595,bescheiden,0.5,0.9,1.0
eenzaam,r_a-10369,alleen,-0.6,0.8,1.0
eenzaam,r_a-10370,afgelegen of verlaten,-0.1,0.4,1.0
eenzelvig,r_a-10371,teruggetrokken,-0.4,0.6,0.7
eenzijdig,r_a-10372,unilateraal,-0.1,0.4,1.0
eenzijdig,r_a-10373,vooringenomen,-0.5,0.8,1.0
eenzijdig,r_a-10616,beperkt,-0.5,0.7,1.0
eerbiedig,r_a-10374,respectvol,0.1,0.4,0.7
eerder,r_a-10482,vroeger,0.0,0.2,1.0
eerlijk,d_a-72219,rechtvaardig,0.7,0.9,1.0
eerlijk,r_a-10376,oprecht,0.6,0.9,1.0
eerloos,r_a-10545,zonder eer,-0.5,0.8,0.7
eersteklas,r_a-10379,uitstekend,0.9,1.0,0.7
eersterangs,r_a-10547,tot de besten behorend,0.5,0.8,0.7
eerstgenoemd,r_a-10485,als eerste genoemd,0.0,0.1,0.7
eerstkomend,r_a-10486,aanstaand,0.0,0.2,0.7
eerzaam,r_a-10549,respectabel,0.3,0.8,0.7
eerzuchtig,r_a-10382,ambitieus,-0.8,0.9,0.7
eeuwenlang,r_a-10488,gedurende honderden jaren,0.0,0.2,0.7
eeuwenoud,r_a-10489,honderden jaren oud,0.0,0.0,0.7
eeuwig,r_a-10384,altijddurend,-0.1,0.4,1.0
effectief,r_a-10385,doeltreffend,0.6,0.8,1.0
effectief,r_a-10597,werkelijk,0.2,0.4,1.0
efficiënt,r_a-10389,doelmatig,0.5,0.8,0.7
egocentrisch,r_a-10392,op zichzelf gericht,-0.7,1.0,1.0
egoïstisch,r_a-10393,zelfzuchtig,-0.9,1.0,1.0
eigen,d_a-72712,undefined,0.0,0.2,1.0
eigen,r_a-10394,van de betrokkene zelf,0.0,0.3,1.0
eigen,r_a-10395,kenmerkend,0.0,0.5,1.0
eigenaardig,r_a-10396,"merkwaardig, vreemd",0.0,1.0,1.0
eigenlijk,r_a-10399,feitelijk,0.0,0.3,1.0
eigentijds,r_a-10401,passend bij deze tijd,0.4,0.7,1.0
eigenwijs,r_a-10402,eigengereid,-0.2,0.9,1.0
eigenwijs,r_a-10403,parmantig,-0.2,0.9,1.0
eigenzinnig,r_a-10404,koppig,-0.1,0.9,1.0
eindeloos,r_a-10406,niet eindig,-0.1,0.4,1.0
eindeloos,r_a-10407,heerlijk,0.7,1.0,1.0
eivol,r_a-10554,helemaal vol,0.2,0.5,0.7
elastieken,r_a-10408,van elastiek,-0.1,0.4,0.7
electoraal,r_a-10493,mbt. verkiezingen,0.0,0.4,0.7
elegant,r_a-10410,bevallig,0.8,1.0,0.7
elektronisch,r_a-10412,met elektrische apparaten,0.0,0.0,0.7
elementair,r_a-10414,fundamenteel,0.1,0.4,0.7
ellendig,r_a-10416,miserabel,-0.7,1.0,1.0
ellendig,r_a-10417,wat ellende veroorzaakt,-0.6,0.8,1.0
ellenlang,r_a-10418,heel erg lang,-0.2,0.9,1.0
embryonaal,r_a-10499,als embryo,0.0,0.3,0.7
emotieloos,r_a-10559,zonder emotie,-0.4,0.8,1.0
emotioneel,r_a-10420,gevoelig,0.0,0.9,1.0
emotioneel,r_a-10619,mbt. emoties,0.0,0.4,1.0
empirisch,r_a-10421,proefondervindelijk,0.1,0.1,1.0
encyclopedisch,r_a-10500,"als (in, van) een encyclopedie",0.0,0.0,0.7
energiek,r_a-10422,krachtig,0.5,0.7,0.7
energiezuinig,r_a-10502,weinig energie gebruikend,0.4,0.7,0.7
enerverend,r_a-10423,spannend en vermoeiend,-0.7,1.0,0.7
eng,r_a-10424,angstig makend,-0.6,1.0,1.0
eng,r_a-10425,nauw,-0.3,0.4,1.0
enig,r_a-10427,uniek,0.4,0.6,1.0
enig,r_a-10428,heel erg leuk,0.7,1.0,1.0
enigst,r_a-10429,uniek,0.4,0.6,1.0
enkel,r_a-10430,niet dubbel,0.0,0.2,0.7
enorm,r_a-10505,geweldig,0.7,1.0,1.0
enthousiast,r_a-10431,geestdriftig,0.6,0.9,1.0
epidemisch,r_a-10566,als een epidemie,-0.5,0.6,0.7
episch,r_a-10506,mbt. verhalende poëzie,0.1,0.4,1.0
equivalent,r_a-10507,gelijkwaardig,0.2,0.5,0.7
erbarmelijk,d_a-74875,,-0.7,1.0,0.7
erbarmelijk,r_a-10432,"ellendig, meelijwekkend",-0.6,0.9,1.0
erg,r_a-10434,naar,-0.6,1.0,1.0
erg,r_a-10435,ontzettend,-0.1,1.0,1.0
ergerlijk,r_a-10436,irritant,-0.8,1.0,1.0
ergerniswekkend,r_a-10509,irritant,-0.6,1.0,0.7
ergonomisch,r_a-10510,mbt. de ergonomie,0.0,0.1,0.7
erkend,r_a-10437,officieel bevoegd,0.3,0.8,0.7
ernstig,r_a-10440,serieus,0.0,0.7,1.0
ernstig,r_a-10441,ingrijpend,-0.1,0.6,1.0
erotisch,r_a-10442,seksueel prikkelend,0.6,0.9,1.0
erudiet,r_a-10443,ontwikkeld,0.5,0.9,0.7
ervaren,r_a-10444,geroutineerd,0.8,0.9,1.0
escaleren,r_v-2658,,-0.1,0.0,0.8
essentieel,r_a-10445,de essentie vormend,0.1,0.4,1.0
esthetisch,r_a-10446,mbt. schoonheid,0.1,0.5,0.7
ethisch,r_a-10447,moreel,0.2,0.6,1.0
